PC 1,PC 2,Popularity 1,Score 2
Aradove Hastur,Argentia Crescent-Moon,0.096153846,0
Aradove Hastur,Eurydice Von Doom,0.096153846,1
Aradove Hastur,Fabian Thrillseeker,0.096153846,1
Aradove Hastur,Fibble Von Rienstone the Third,0.096153846,1
Aradove Hastur,Ikur Zyras,0.096153846,1
Aradove Hastur,Jingles,0.096153846,1
Aradove Hastur,Lee,0.096153846,1
Aradove Hastur,Minnark The Brutish,0.096153846,0
Aradove Hastur,Rayth Blackthorn,0.096153846,1
Aradove Hastur,Ryn,0.096153846,2
Aradove Hastur,Sharlyn Zaralvath,0.096153846,1
Aradove Hastur,Thune Fennen,0.096153846,1
Aradove Hastur,Toku,0.096153846,2
Aradove Hastur,Velnaur,0.096153846,1
Aradove Hastur,Warren Woodard,0.096153846,1
Argentia Crescent-Moon,Aradove Hastur,0.038461538,0
Argentia Crescent-Moon,Eurydice Von Doom,0.038461538,0
Argentia Crescent-Moon,Fabian Thrillseeker,0.038461538,0
Argentia Crescent-Moon,Fibble Von Rienstone the Third,0.038461538,0
Argentia Crescent-Moon,Ikur Zyras,0.038461538,0
Argentia Crescent-Moon,Jingles,0.038461538,0
Argentia Crescent-Moon,Lee,0.038461538,1
Argentia Crescent-Moon,Minnark The Brutish,0.038461538,1
Argentia Crescent-Moon,Rayth Blackthorn,0.038461538,1
Argentia Crescent-Moon,Ryn,0.038461538,1
Argentia Crescent-Moon,Sharlyn Zaralvath,0.038461538,1
Argentia Crescent-Moon,Thune Fennen,0.038461538,0
Argentia Crescent-Moon,Toku,0.038461538,1
Argentia Crescent-Moon,Velnaur,0.038461538,0
Argentia Crescent-Moon,Warren Woodard,0.038461538,0
Eurydice Von Doom,Aradove Hastur,0.070512821,1
Eurydice Von Doom,Argentia Crescent-Moon,0.070512821,0
Eurydice Von Doom,Fabian Thrillseeker,0.070512821,1
Eurydice Von Doom,Fibble Von Rienstone the Third,0.070512821,0
Eurydice Von Doom,Ikur Zyras,0.070512821,2
Eurydice Von Doom,Jingles,0.070512821,0
Eurydice Von Doom,Lee,0.070512821,1
Eurydice Von Doom,Minnark The Brutish,0.070512821,0
Eurydice Von Doom,Rayth Blackthorn,0.070512821,1
Eurydice Von Doom,Ryn,0.070512821,0
Eurydice Von Doom,Sharlyn Zaralvath,0.070512821,0
Eurydice Von Doom,Thune Fennen,0.070512821,2
Eurydice Von Doom,Toku,0.070512821,0
Eurydice Von Doom,Velnaur,0.070512821,1
Eurydice Von Doom,Warren Woodard,0.070512821,2
Fabian Thrillseeker,Aradove Hastur,0.032051282,1
Fabian Thrillseeker,Argentia Crescent-Moon,0.032051282,0
Fabian Thrillseeker,Eurydice Von Doom,0.032051282,1
Fabian Thrillseeker,Fibble Von Rienstone the Third,0.032051282,0
Fabian Thrillseeker,Ikur Zyras,0.032051282,1
Fabian Thrillseeker,Jingles,0.032051282,0
Fabian Thrillseeker,Lee,0.032051282,0
Fabian Thrillseeker,Minnark The Brutish,0.032051282,0
Fabian Thrillseeker,Rayth Blackthorn,0.032051282,0
Fabian Thrillseeker,Ryn,0.032051282,0
Fabian Thrillseeker,Sharlyn Zaralvath,0.032051282,0
Fabian Thrillseeker,Thune Fennen,0.032051282,1
Fabian Thrillseeker,Toku,0.032051282,0
Fabian Thrillseeker,Velnaur,0.032051282,0
Fabian Thrillseeker,Warren Woodard,0.032051282,1
Fibble Von Rienstone the Third,Aradove Hastur,0.032051282,1
Fibble Von Rienstone the Third,Argentia Crescent-Moon,0.032051282,0
Fibble Von Rienstone the Third,Eurydice Von Doom,0.032051282,0
Fibble Von Rienstone the Third,Fabian Thrillseeker,0.032051282,0
Fibble Von Rienstone the Third,Ikur Zyras,0.032051282,0
Fibble Von Rienstone the Third,Jingles,0.032051282,0
Fibble Von Rienstone the Third,Lee,0.032051282,0
Fibble Von Rienstone the Third,Minnark The Brutish,0.032051282,0
Fibble Von Rienstone the Third,Rayth Blackthorn,0.032051282,0
Fibble Von Rienstone the Third,Ryn,0.032051282,1
Fibble Von Rienstone the Third,Sharlyn Zaralvath,0.032051282,1
Fibble Von Rienstone the Third,Thune Fennen,0.032051282,0
Fibble Von Rienstone the Third,Toku,0.032051282,1
Fibble Von Rienstone the Third,Velnaur,0.032051282,1
Fibble Von Rienstone the Third,Warren Woodard,0.032051282,0
Ikur Zyras,Aradove Hastur,0.070512821,1
Ikur Zyras,Argentia Crescent-Moon,0.070512821,0
Ikur Zyras,Eurydice Von Doom,0.070512821,2
Ikur Zyras,Fabian Thrillseeker,0.070512821,1
Ikur Zyras,Fibble Von Rienstone the Third,0.070512821,0
Ikur Zyras,Jingles,0.070512821,0
Ikur Zyras,Lee,0.070512821,0
Ikur Zyras,Minnark The Brutish,0.070512821,1
Ikur Zyras,Rayth Blackthorn,0.070512821,0
Ikur Zyras,Ryn,0.070512821,0
Ikur Zyras,Sharlyn Zaralvath,0.070512821,0
Ikur Zyras,Thune Fennen,0.070512821,3
Ikur Zyras,Toku,0.070512821,0
Ikur Zyras,Velnaur,0.070512821,0
Ikur Zyras,Warren Woodard,0.070512821,3
Jingles,Aradove Hastur,0.019230769,1
Jingles,Argentia Crescent-Moon,0.019230769,0
Jingles,Eurydice Von Doom,0.019230769,0
Jingles,Fabian Thrillseeker,0.019230769,0
Jingles,Fibble Von Rienstone the Third,0.019230769,0
Jingles,Ikur Zyras,0.019230769,0
Jingles,Lee,0.019230769,1
Jingles,Minnark The Brutish,0.019230769,0
Jingles,Rayth Blackthorn,0.019230769,1
Jingles,Ryn,0.019230769,0
Jingles,Sharlyn Zaralvath,0.019230769,0
Jingles,Thune Fennen,0.019230769,0
Jingles,Toku,0.019230769,0
Jingles,Velnaur,0.019230769,0
Jingles,Warren Woodard,0.019230769,0
Lee,Aradove Hastur,0.076923077,1
Lee,Argentia Crescent-Moon,0.076923077,1
Lee,Eurydice Von Doom,0.076923077,1
Lee,Fabian Thrillseeker,0.076923077,0
Lee,Fibble Von Rienstone the Third,0.076923077,0
Lee,Ikur Zyras,0.076923077,0
Lee,Jingles,0.076923077,1
Lee,Minnark The Brutish,0.076923077,1
Lee,Rayth Blackthorn,0.076923077,3
Lee,Ryn,0.076923077,1
Lee,Sharlyn Zaralvath,0.076923077,1
Lee,Thune Fennen,0.076923077,0
Lee,Toku,0.076923077,1
Lee,Velnaur,0.076923077,1
Lee,Warren Woodard,0.076923077,0
Minnark The Brutish,Aradove Hastur,0.057692308,0
Minnark The Brutish,Argentia Crescent-Moon,0.057692308,1
Minnark The Brutish,Eurydice Von Doom,0.057692308,0
Minnark The Brutish,Fabian Thrillseeker,0.057692308,0
Minnark The Brutish,Fibble Von Rienstone the Third,0.057692308,0
Minnark The Brutish,Ikur Zyras,0.057692308,1
Minnark The Brutish,Jingles,0.057692308,0
Minnark The Brutish,Lee,0.057692308,1
Minnark The Brutish,Rayth Blackthorn,0.057692308,1
Minnark The Brutish,Ryn,0.057692308,1
Minnark The Brutish,Sharlyn Zaralvath,0.057692308,1
Minnark The Brutish,Thune Fennen,0.057692308,1
Minnark The Brutish,Toku,0.057692308,1
Minnark The Brutish,Velnaur,0.057692308,0
Minnark The Brutish,Warren Woodard,0.057692308,1
Rayth Blackthorn,Aradove Hastur,0.076923077,1
Rayth Blackthorn,Argentia Crescent-Moon,0.076923077,1
Rayth Blackthorn,Eurydice Von Doom,0.076923077,1
Rayth Blackthorn,Fabian Thrillseeker,0.076923077,0
Rayth Blackthorn,Fibble Von Rienstone the Third,0.076923077,0
Rayth Blackthorn,Ikur Zyras,0.076923077,0
Rayth Blackthorn,Jingles,0.076923077,1
Rayth Blackthorn,Lee,0.076923077,3
Rayth Blackthorn,Minnark The Brutish,0.076923077,1
Rayth Blackthorn,Ryn,0.076923077,1
Rayth Blackthorn,Sharlyn Zaralvath,0.076923077,1
Rayth Blackthorn,Thune Fennen,0.076923077,0
Rayth Blackthorn,Toku,0.076923077,1
Rayth Blackthorn,Velnaur,0.076923077,1
Rayth Blackthorn,Warren Woodard,0.076923077,0
Ryn,Aradove Hastur,0.083333333,2
Ryn,Argentia Crescent-Moon,0.083333333,1
Ryn,Eurydice Von Doom,0.083333333,0
Ryn,Fabian Thrillseeker,0.083333333,0
Ryn,Fibble Von Rienstone the Third,0.083333333,1
Ryn,Ikur Zyras,0.083333333,0
Ryn,Jingles,0.083333333,0
Ryn,Lee,0.083333333,1
Ryn,Minnark The Brutish,0.083333333,1
Ryn,Rayth Blackthorn,0.083333333,1
Ryn,Sharlyn Zaralvath,0.083333333,2
Ryn,Thune Fennen,0.083333333,0
Ryn,Toku,0.083333333,3
Ryn,Velnaur,0.083333333,1
Ryn,Warren Woodard,0.083333333,0
Sharlyn Zaralvath,Aradove Hastur,0.070512821,1
Sharlyn Zaralvath,Argentia Crescent-Moon,0.070512821,1
Sharlyn Zaralvath,Eurydice Von Doom,0.070512821,0
Sharlyn Zaralvath,Fabian Thrillseeker,0.070512821,0
Sharlyn Zaralvath,Fibble Von Rienstone the Third,0.070512821,1
Sharlyn Zaralvath,Ikur Zyras,0.070512821,0
Sharlyn Zaralvath,Jingles,0.070512821,0
Sharlyn Zaralvath,Lee,0.070512821,1
Sharlyn Zaralvath,Minnark The Brutish,0.070512821,1
Sharlyn Zaralvath,Rayth Blackthorn,0.070512821,1
Sharlyn Zaralvath,Ryn,0.070512821,2
Sharlyn Zaralvath,Thune Fennen,0.070512821,0
Sharlyn Zaralvath,Toku,0.070512821,2
Sharlyn Zaralvath,Velnaur,0.070512821,1
Sharlyn Zaralvath,Warren Woodard,0.070512821,0
Thune Fennen,Aradove Hastur,0.070512821,1
Thune Fennen,Argentia Crescent-Moon,0.070512821,0
Thune Fennen,Eurydice Von Doom,0.070512821,2
Thune Fennen,Fabian Thrillseeker,0.070512821,1
Thune Fennen,Fibble Von Rienstone the Third,0.070512821,0
Thune Fennen,Ikur Zyras,0.070512821,3
Thune Fennen,Jingles,0.070512821,0
Thune Fennen,Lee,0.070512821,0
Thune Fennen,Minnark The Brutish,0.070512821,1
Thune Fennen,Rayth Blackthorn,0.070512821,0
Thune Fennen,Ryn,0.070512821,0
Thune Fennen,Sharlyn Zaralvath,0.070512821,0
Thune Fennen,Toku,0.070512821,0
Thune Fennen,Velnaur,0.070512821,0
Thune Fennen,Warren Woodard,0.070512821,3
Toku,Aradove Hastur,0.083333333,2
Toku,Argentia Crescent-Moon,0.083333333,1
Toku,Eurydice Von Doom,0.083333333,0
Toku,Fabian Thrillseeker,0.083333333,0
Toku,Fibble Von Rienstone the Third,0.083333333,1
Toku,Ikur Zyras,0.083333333,0
Toku,Jingles,0.083333333,0
Toku,Lee,0.083333333,1
Toku,Minnark The Brutish,0.083333333,1
Toku,Rayth Blackthorn,0.083333333,1
Toku,Ryn,0.083333333,3
Toku,Sharlyn Zaralvath,0.083333333,2
Toku,Thune Fennen,0.083333333,0
Toku,Velnaur,0.083333333,1
Toku,Warren Woodard,0.083333333,0
Velnaur,Aradove Hastur,0.051282051,1
Velnaur,Argentia Crescent-Moon,0.051282051,0
Velnaur,Eurydice Von Doom,0.051282051,1
Velnaur,Fabian Thrillseeker,0.051282051,0
Velnaur,Fibble Von Rienstone the Third,0.051282051,1
Velnaur,Ikur Zyras,0.051282051,0
Velnaur,Jingles,0.051282051,0
Velnaur,Lee,0.051282051,1
Velnaur,Minnark The Brutish,0.051282051,0
Velnaur,Rayth Blackthorn,0.051282051,1
Velnaur,Ryn,0.051282051,1
Velnaur,Sharlyn Zaralvath,0.051282051,1
Velnaur,Thune Fennen,0.051282051,0
Velnaur,Toku,0.051282051,1
Velnaur,Warren Woodard,0.051282051,0
Warren Woodard,Aradove Hastur,0.070512821,1
Warren Woodard,Argentia Crescent-Moon,0.070512821,0
Warren Woodard,Eurydice Von Doom,0.070512821,2
Warren Woodard,Fabian Thrillseeker,0.070512821,1
Warren Woodard,Fibble Von Rienstone the Third,0.070512821,0
Warren Woodard,Ikur Zyras,0.070512821,3
Warren Woodard,Jingles,0.070512821,0
Warren Woodard,Lee,0.070512821,0
Warren Woodard,Minnark The Brutish,0.070512821,1
Warren Woodard,Rayth Blackthorn,0.070512821,0
Warren Woodard,Ryn,0.070512821,0
Warren Woodard,Sharlyn Zaralvath,0.070512821,0
Warren Woodard,Thune Fennen,0.070512821,3
Warren Woodard,Toku,0.070512821,0
Warren Woodard,Velnaur,0.070512821,0
